,SOURCE,INSTRMT,PROF_NO,i_offset,temp,salt,p
1,ITP,8,1301,9,-1.0758676648436996,34.00049507939257,221.84480615995963
2,ITP,8,1301,9,-1.0520198297293253,34.02332506132375,223.3448061599594
3,ITP,8,1301,9,-1.0294444126211777,34.042301122279035,224.84480615995918
4,ITP,8,1301,9,-1.0130557751085199,34.05595203811971,226.34480615995895
5,ITP,8,1301,9,-0.9741230714248842,34.08816740565666,227.84480615995872
6,ITP,8,1301,9,-0.9279084842567299,34.120139965429445,229.3448061599585
0,ITP,1,1259,10,-0.4725119089803244,34.37037309990277,220.53275850251478
1,ITP,1,1259,10,-0.4678861734134917,34.36960422787654,222.03275850251455
2,ITP,1,1259,10,-0.4284297580824309,34.383126952882435,223.53275850251433
3,ITP,1,1259,10,-0.4174733212929523,34.38506597282785,225.0327585025141
4,ITP,1,1259,10,-0.3897406274110766,34.397768321267606,226.53275850251387
5,ITP,1,1259,10,-0.38575221383472297,34.39721550000871,228.03275850251364
6,ITP,1,1259,10,-0.35347187226200005,34.41210869252354,229.53275850251342
0,ITP,8,1301,10,-1.105453762950426,33.9780457887419,220.38230615995985
1,ITP,8,1301,10,-1.075614528268912,34.000935536901316,221.88230615995963
2,ITP,8,1301,10,-1.0512021062504726,34.023854962510185,223.3823061599594
3,ITP,8,1301,10,-1.0285768275323652,34.042232765816564,224.88230615995917
4,ITP,8,1301,10,-1.0122071398101318,34.05617028320601,226.38230615995894
5,ITP,8,1301,10,-0.97315021267855,34.088698500418985,227.88230615995872
6,ITP,8,1301,10,-0.9272814783971981,34.1212992747658,229.3823061599585
0,ITP,1,1259,11,-0.4724208498483101,34.37036340138747,220.57025850251478
1,ITP,1,1259,11,-0.46765356162284255,34.36958242420484,222.07025850251455
2,ITP,1,1259,11,-0.42836605274502226,34.38315213099125,223.57025850251432
3,ITP,1,1259,11,-0.4147795139080289,34.38545134280762,225.0702585025141
4,ITP,1,1259,11,-0.3895965547990696,34.397683475045234,226.57025850251387
5,ITP,1,1259,11,-0.3855510229706442,34.39722589578559,228.07025850251364
6,ITP,1,1259,11,-0.35342329140655876,34.4120921496824,229.5702585025134
0,ITP,8,1301,11,-1.104681753601993,33.978126582949145,220.41980615995985
1,ITP,8,1301,11,-1.075293250511705,34.001268248181304,221.91980615995962
2,ITP,8,1301,11,-1.050535483884385,34.02431121599248,223.4198061599594
3,ITP,8,1301,11,-1.0281868416980267,34.042318254508224,224.91980615995917
4,ITP,8,1301,11,-1.0113585045117435,34.0563885282923,226.41980615995894
5,ITP,8,1301,11,-0.9721773539322158,34.0892295951813,227.9198061599587
6,ITP,8,1301,11,-0.9262651045359056,34.12347952531888,229.41980615995848
0,ITP,1,1259,12,-0.4723297907162958,34.37035370287217,220.60775850251477
1,ITP,1,1259,12,-0.46742094983219346,34.36956062053314,222.10775850251454
2,ITP,1,1259,12,-0.4283023474076136,34.38317730910007,223.60775850251432
3,ITP,1,1259,12,-0.41208570652310555,34.385836712787395,225.1077585025141
4,ITP,1,1259,12,-0.38945248218706263,34.39759862882286,226.60775850251386
5,ITP,1,1259,12,-0.3853498321065654,34.39723629156246,228.10775850251363
6,ITP,1,1259,12,-0.35337471055111747,34.41207560684126,229.6077585025134
0,ITP,8,1301,12,-1.103969517307664,33.9780320119464,220.45730615995984
1,ITP,8,1301,12,-1.0748187411345216,34.001932938677996,221.95730615995961
2,ITP,8,1301,12,-1.0498688615182972,34.02476746947478,223.4573061599594
3,ITP,8,1301,12,-1.0280466168362674,34.042484196665754,224.95730615995916
4,ITP,8,1301,12,-1.011142322594556,34.05669918840661,226.45730615995893
5,ITP,8,1301,12,-0.9712004584531615,34.089766000233865,227.9573061599587
6,ITP,8,1301,12,-0.9252157514880077,34.12574624885059,229.45730615995848
0,ITP,1,1259,13,-0.47223873158428153,34.37034400435688,220.64525850251476
1,ITP,1,1259,13,-0.46718833804154436,34.36953881686144,222.14525850251454
2,ITP,1,1259,13,-0.42823864207020496,34.38320248720889,223.6452585025143
3,ITP,1,1259,13,-0.4093918991381822,34.38622208276716,225.14525850251408
4,ITP,1,1259,13,-0.38930840957505564,34.3975137826005,226.64525850251385
5,ITP,1,1259,13,-0.38514864124248666,34.39724668733933,228.14525850251363
