,temp,salt,p
385,0.453,34.846,451.267
386,0.451,34.842,452.397
387,0.455,34.846,453.442
388,0.454,34.846,454.572
389,0.453,34.844,455.785
390,0.455,34.845,456.789
391,0.458,34.849,458.086
392,0.458,34.848,459.132
393,0.457,34.851,460.22
394,0.461,34.851,461.475
395,0.463,34.849,462.479
396,0.463,34.852,463.483
397,0.465,34.853,464.78
398,0.468,34.854,465.826
399,0.471,34.854,467.039
400,0.469,34.856,468.294
401,0.47,34.855,469.298
402,0.468,34.854,470.512
403,0.468,34.861,471.85
404,0.475,34.859,472.98
405,0.472,34.86,474.152
406,0.476,34.863,475.532
407,0.476,34.86,476.536
408,0.475,34.863,477.666
409,0.475,34.861,478.67
410,0.476,34.862,479.8
411,0.478,34.863,480.93
412,0.477,34.859,482.143
413,0.478,34.865,483.231
414,0.479,34.866,484.319
415,0.479,34.865,485.407
416,0.48,34.866,486.62
417,0.484,34.866,487.666
418,0.482,34.867,488.838
419,0.482,34.868,489.967
420,0.479,34.864,491.097
421,0.482,34.867,492.185
422,0.477,34.868,493.273
423,0.479,34.868,494.445
424,0.477,34.865,495.742
425,0.479,34.87,496.83
426,0.48,34.87,498.043
427,0.475,34.867,499.382
428,0.477,34.868,500.638
429,0.476,34.868,501.768
430,0.476,34.871,502.939
431,0.471,34.869,504.153
432,0.477,34.872,505.241
433,0.478,34.873,506.496
434,0.477,34.871,507.71
435,0.479,34.874,508.923
436,0.479,34.872,510.179
437,0.475,34.877,511.434
438,0.477,34.875,512.815
439,0.472,34.876,514.112
440,0.47,34.873,515.326
441,0.474,34.878,516.498
442,0.479,34.879,517.879
443,0.479,34.878,519.176
444,0.477,34.881,520.474
445,0.48,34.881,521.813
446,0.484,34.882,523.152
447,0.485,34.879,524.45
448,0.484,34.881,525.663
449,0.481,34.88,526.793
450,0.48,34.886,527.923
451,0.479,34.882,529.053
452,0.475,34.882,530.058
453,0.476,34.881,531.062
454,0.477,34.884,532.276
455,0.479,34.887,533.448
456,0.479,34.885,534.829
457,0.479,34.886,536.001
458,0.48,34.886,537.215
459,0.477,34.885,538.47
460,0.473,34.887,539.852
461,0.474,34.887,541.107
462,0.475,34.887,542.321
463,0.469,34.888,543.535
464,0.467,34.887,544.791
465,0.466,34.887,546.088
466,0.463,34.887,547.386
467,0.458,34.886,548.641
468,0.458,34.887,549.772
469,0.454,34.887,551.069
470,0.452,34.889,552.199
471,0.451,34.887,553.539
472,0.45,34.888,554.92
473,0.45,34.891,556.218
474,0.451,34.891,557.557
475,0.45,34.89,558.771
476,0.448,34.894,560.195
477,0.45,34.891,561.534
478,0.452,34.893,562.874
479,0.45,34.894,564.255
480,0.454,34.894,565.595
481,0.449,34.894,566.767
482,0.444,34.893,568.148
483,0.446,34.894,569.488
484,0.443,34.896,570.828
485,0.437,34.894,572.083
486,0.442,34.899,573.339
487,0.437,34.899,574.679
488,0.437,34.895,575.977
489,0.43,34.898,577.233
490,0.434,34.897,578.405
491,0.431,34.898,579.703
492,0.43,34.898,580.959
493,0.427,34.9,582.257
494,0.429,34.901,583.554
495,0.429,34.902,584.81
496,0.427,34.898,585.983
497,0.425,34.9,587.239
498,0.423,34.899,588.578
499,0.421,34.897,589.918
500,0.418,34.902,591.09
501,0.42,34.902,592.305
502,0.419,34.902,593.561
503,0.419,34.901,594.901
504,0.412,34.902,596.157
505,0.413,34.901,597.413
506,0.408,34.905,598.711
507,0.411,34.902,600.051
508,0.409,34.903,601.39
509,0.406,34.906,602.605
510,0.409,34.906,603.735
511,0.404,34.906,605.117
512,0.399,34.906,606.331
513,0.399,34.905,607.336
514,0.398,34.905,608.341
515,0.395,34.903,609.388
516,0.394,34.904,610.602
517,0.393,34.905,611.9
518,0.392,34.904,612.989
519,0.391,34.907,614.203
520,0.39,34.905,615.25
521,0.388,34.908,616.297
522,0.387,34.908,617.469
523,0.385,34.907,618.475
524,0.383,34.905,619.521
525,0.382,34.908,620.568
526,0.382,34.907,621.615
527,0.375,34.909,622.62
528,0.375,34.907,623.667
529,0.374,34.909,624.798
530,0.378,34.909,626.012
531,0.375,34.908,627.101
532,0.366,34.907,628.19
533,0.366,34.908,629.237
534,0.366,34.909,630.326
535,0.365,34.908,631.498
536,0.364,34.908,632.587
537,0.358,34.911,633.76
538,0.361,34.91,634.807
539,0.361,34.911,635.896
540,0.363,34.911,636.984
541,0.362,34.91,638.073
542,0.358,34.908,639.246
543,0.356,34.91,640.544
544,0.354,34.912,641.842
545,0.348,34.91,643.141
546,0.346,34.909,644.439
547,0.345,34.913,645.654
548,0.342,34.911,646.952
549,0.338,34.909,648.418
550,0.335,34.91,649.758
551,0.334,34.912,651.015
552,0.335,34.914,652.271
553,0.333,34.912,653.611
554,0.332,34.912,655.035
555,0.33,34.911,656.25
556,0.326,34.911,657.507
557,0.325,34.912,658.847
558,0.322,34.913,659.852
559,0.321,34.913,661.193
560,0.322,34.912,662.323
561,0.315,34.912,663.664
562,0.315,34.913,664.878
563,0.311,34.912,666.135
564,0.311,34.912,667.266
565,0.309,34.911,668.523
566,0.307,34.915,669.779
567,0.308,34.912,671.12
568,0.304,34.912,672.502
569,0.301,34.912,673.675
570,0.302,34.914,674.89
571,0.299,34.911,676.23
572,0.298,34.913,677.571
573,0.295,34.913,678.869
574,0.29,34.912,680.084
575,0.29,34.911,681.341
576,0.286,34.912,682.765
577,0.282,34.914,684.105
578,0.285,34.911,685.237
579,0.285,34.915,686.577
580,0.281,34.913,687.918
581,0.28,34.913,689.3
582,0.275,34.915,690.557
583,0.279,34.914,691.897
584,0.276,34.913,693.364
585,0.272,34.914,694.579
586,0.271,34.913,695.794
587,0.271,34.913,697.051
588,0.265,34.912,698.265
589,0.265,34.913,699.564
590,0.266,34.914,700.821
591,0.263,34.912,702.036
592,0.26,34.914,703.251
593,0.26,34.914,704.424
594,0.258,34.911,705.723
595,0.256,34.912,706.98
596,0.253,34.913,708.111
597,0.252,34.915,709.368
598,0.252,34.912,710.625
599,0.249,34.912,711.882
600,0.249,34.911,713.055
601,0.243,34.912,714.27
602,0.243,34.912,715.695
603,0.242,34.91,717.035
604,0.238,34.909,718.25
605,0.234,34.913,719.508
606,0.235,34.911,720.639
607,0.234,34.912,721.854
608,0.231,34.914,723.153
609,0.229,34.911,724.536
610,0.23,34.913,725.835
611,0.229,34.91,727.133
612,0.225,34.912,728.432
613,0.223,34.91,729.815
614,0.221,34.91,731.114
615,0.219,34.91,732.12
